date,CDX NA IG,iTraxx EU Main,iTraxx EU Xover,iTraxx EU SenFin
2011-09-09,405.2560704230373,,,
2011-09-12,415.9811838179759,,,
2011-09-13,405.2560704230373,,,
2011-09-14,397.59527514093827,,,
2011-09-15,385.33800268957987,,,
2011-09-16,387.63624127420957,,,
2011-09-19,392.61575820757395,,,
2011-09-20,390.3175196229442,,,
2011-09-21,411.3569398256679,,,
2011-09-22,422.23939855121466,,,
2011-09-23,413.5334315707773,,,
2011-09-26,397.9352407308269,,,
2011-09-27,396.84699485827224,,,
2011-09-28,412.0824370740377,,,
2011-09-29,405.5529618387096,,,
2011-09-30,421.5139013028449,,,
2011-10-03,439.65133251208954,,,
2011-10-04,433.84735452513127,,,
2011-10-05,422.23939855121466,,,
2011-10-06,405.5529618387096,,,
2011-10-07,405.5529618387096,,,
2011-10-11,394.67050311316285,,,
2011-10-12,380.1605581457672,573.4099223868985,1774.5522583999764,842.4984917409028
2011-10-13,385.9471241987646,595.4002404337168,1829.420585729651,897.4636339828226
2011-10-14,378.7095636490276,575.7628232750876,1767.7912322835239,879.4422758707177
2011-10-17,393.2195086164233,584.4865024156193,1777.3339649814104,883.0465474931386
2011-10-18,385.96453613272547,596.533487895401,1795.2265887899482,904.6721772276645
2011-10-19,391.76851411968374,586.1481555852444,1754.273951416967,880.6424983209838
2011-10-20,389.59202237457436,611.2092086895296,1811.6281606144412,915.0344581421248
2011-10-21,382.33704989087653,586.1481555852444,1742.741558951571,865.0251893810338
2011-10-24,367.3453747505633,577.0090631523065,1694.5316733618467,851.9597047497577
2011-10-25,377.5023362277403,584.5695850741005,1717.6918856196182,883.0465474931386
2011-10-26,366.6198775021935,580.5251212592331,1716.6970557358638,869.8296834537209
2011-10-27,331.0705123320741,501.81925722677187,1518.487340551232,747.8863616523521
2011-10-28,331.5522425049916,501.81925722677187,1490.6559606378453,760.2922645767252
2011-10-31,354.04265720445494,540.8514901812648,1581.0113251877863,822.8083558676169
2011-11-01,369.2780994202204,603.1801005739013,1758.0099312681898,939.813825546269
2011-11-02,365.16888300545395,588.0191770542422,1737.1757601055283,925.695893601246
2011-11-03,350.87368522357565,556.6538118243993,1644.9285487982315,872.2337326258757
2011-11-04,359.12113794304344,577.0090631523065,1700.9921033983164,890.2550907379806
2011-11-07,358.76129130785205,584.695870714992,1736.7773510153918,909.181121027313
2011-11-08,351.8690674483391,585.1777501341833,1730.2167222855946,910.9796525669012
2011-11-09,377.62131777647295,604.0109271587138,1791.6480640282407,982.1640171097155
2011-11-10,376.53307190391826,613.2895984579003,1813.2194112918135,1026.0928796437822
2011-11-11,,574.9319966902751,1716.4990440323825,965.944794808821
2011-11-14,376.17032327973334,605.6725803283389,1778.7248182721278,1019.1078012395304
2011-11-15,384.5164436249794,629.0055141362142,1842.1458197822828,1080.8309527734896
2011-11-16,391.4057654954988,614.8116727612768,1791.6480640282407,1056.0515853693455
2011-11-17,396.48714822308085,628.1048981182774,1817.09614645033,1074.0729434814502
2011-11-18,394.67050311316285,627.2740715334648,1814.3120541857218,1077.6772151038713
2011-11-21,408.4549508321888,658.0146551715287,1890.2555066786792,1133.5434252513965
2011-11-22,408.4549508321888,663.8304412652165,1916.5982202911955,1154.7185210331195
2011-11-23,424.05314167213913,692.9093717336552,2002.1846041753674,1232.6608948679732
2011-11-24,,688.2002466509377,2005.3647198469384,1243.772864279897
2011-11-25,428.043376538173,692.493958441249,2015.9022824285796,1292.1313766379192
2011-11-28,409.18044808055856,660.716503225339,1908.9950480141542,1197.6706259575103
2011-11-29,406.76309124899046,652.198869077841,1889.759284578389,1198.4203144549738
2011-11-30,370.72909391696,614.814996067616,1808.3478462495425,1083.9846904431079
2011-12-01,367.10160767511104,610.1025476785594,1808.6460566463516,1070.7678264036902
