IndexSymbol,VIXIG,VIXIG,VIXHY,VIXHY,VIXIE,VIXIE,VIXXO,VIXXO,VIXFS,VIXFS
IndexType,CreditVix_pc,CreditVix_bp,CreditVix_pc,CreditVix_bp,CreditVix_pc,CreditVix_bp,CreditVix_pc,CreditVix_bp,CreditVix_pc,CreditVix_bp
Date,,,,,,,,,,
2012-03-01,52.41405344,54.56985158,55.54471739,353.9473079,65.5811919,95.01726033,,,,
2012-03-02,52.22715756,54.88132875,56.42210695,370.2335187,67.04260975,99.88038312,,,,
2012-03-05,53.74196559,57.62010475,55.66968306,370.8244805,67.87992206,105.0939815,40.63407365,267.23902430000004,59.56165075,148.88482019999998
2012-03-06,55.1186813,61.13324229,58.17259341,404.43357760000004,69.00892296,111.8776713,40.39274338,277.98008439999995,61.22478394,161.35495590000002
2012-03-07,54.40618024,59.77909666,55.91674584,378.086924,68.12757336,103.8387358,42.62505023,279.977235,80.10741161,193.4725461
2012-03-08,53.2890699,57.598276899999995,54.29108791,352.46722610000006,66.36349761,99.06818614,42.74521597,274.7765662,80.16906589,189.6695514
2012-03-09,50.71638349,54.35990174,50.72854763,327.3179024,65.29782223,97.69770501,42.72495285,275.4417539,80.20970635,190.17181090000003
2012-03-12,50.15801346,53.68201423,50.6226281,326.6927784,62.52389458,95.56551437,59.78192247,398.696477,80.29195273,192.3892876
2012-03-13,47.32546289,47.91137262,46.5245599,278.15396119999997,59.07333939,85.43877181,54.07680569,349.7172398,80.3523671,187.5177784
2012-03-14,46.25050408,46.46675869,47.76144686,292.82839049999995,57.58528079,80.71142940000001,52.08501514,331.5733572,71.51745943,161.9583835
2012-03-15,45.90540338,45.56802188,44.73729978,267.1541728,53.90332122,72.5157769,51.69601164,323.4452197,70.80261281,158.98404109999998
2012-03-16,44.72084333,44.03489478,44.85727864,264.0907901,51.78671576,66.44392389,51.97981559,313.5574323,70.87764876,153.55431380000002
2012-03-19,43.19504985,40.79640771,39.95664931,225.63196680000001,48.96795404,59.7972007,52.35408579999999,302.6432025,63.96606725,126.8523493
2012-03-20,44.25791516,42.42546518,41.41633532,237.73804680000003,53.03008009,66.87525116,51.69513772,327.77952819999996,63.87502534,124.9792356
2012-03-21,48.12201996,44.28036059,45.07457394,260.5109857,53.46348487,66.54708099,48.5681451,307.8788914,66.51528544,137.37899209999998
2012-03-22,52.7703303,52.13771358,47.04793173,283.24064489999995,57.08675218,73.80327335,57.17205445,394.9534713,66.20684199,149.2199671
2012-03-23,57.93718868,60.02215445,47.97874229999999,285.7142914,58.68549636,76.48021184,57.15221487,394.8047955,66.13819429,151.7334573
2012-03-26,57.18179882,58.17499776,47.26998961,272.78464039999994,60.90939048,78.26932923,56.5682524,372.9353783,66.16760496,149.234033
2012-03-27,57.03445256,57.94830946,47.0087496,284.9069145,63.34898452,82.7907573,59.29336164,393.07679049999996,80.50430688,188.9564351
2012-03-28,58.55703553,60.80214795,46.95707553,288.68041889999995,63.31109621,84.69021682,58.22019329,385.8619195,77.50048232,180.9648001
2012-03-29,61.328593999999995,67.24090487,46.87873916,294.5078151,63.26941849,87.90285797,57.81717343,413.1461065,77.28677507,189.0528575
