Date,VIXIG Percent,VIXIG Basis Point,VIXHY Percent,VIXHY Basis Point,VIXIE Percent,VIXIE Basis Point,VIXXO Percent,VIXXO Basis Point,VIXFS Percent,VIXFS Basis Point
2018-08-23,41.80703138,29.16132963,32.04615253,120.28783999999999,46.93723381,35.24947284,35.04595472,111.07965420000001,60.53220777,55.31176734
2018-08-24,41.25669465,28.73785936,31.38122728,116.2839993,46.65975878,34.67113562,34.69786375,108.96755879999999,59.22557973,52.889309700000005
2018-08-27,41.51646926,28.36631806,31.20972489,114.84847479999999,,,,,,
2018-08-28,41.38870493,28.28524285,31.350637100000004,115.6065476,45.61034221,33.4576072,35.23411205,110.28316299999999,58.68580682,53.67368511
2018-08-29,40.70439939,27.95897198,30.85138102,113.67383059999999,47.72235897,35.78690087,36.7290532,117.46105659999999,56.72858681,53.10918992
2018-08-30,43.98470694,30.74551848,32.87190223,123.69731809999999,48.38666817,36.47483251,37.17347002,120.4131439,60.03360082,55.80809212
2018-08-31,42.94103525,30.15549093,32.15312418,121.26598030000001,49.16794596,38.05650873,37.52423754,123.67730159999998,62.91422799,60.81060948
2018-09-04,44.88689908,31.46942848,33.37292618,126.3309289,49.11332615,37.77731155,38.23369198,125.6487821,58.05136689,51.22816478
2018-09-05,43.90914405,30.683258399999996,32.60738693,123.3234088,47.35020127,35.46371617,37.91431025,122.4593189,56.07275024,48.98044225
2018-09-06,42.86760408,30.23558686,32.75797245,123.3124442,46.99755815,34.82440644,37.44184489,119.99507709999999,58.49882462,49.99394212
2018-09-07,43.09165106,30.24820687,32.9107768,124.22638429999999,46.15582115,34.18045621,37.39446661,120.4136946,58.03951145,48.26508003
2018-09-10,41.35416411,28.01729054,32.02466279,119.31310090000001,44.59796945,31.65747076,36.27938615,113.9388598,56.47265486,43.71195315
2018-09-11,42.40968004,29.02708916,32.35376958,120.66607179999998,45.28375589,31.97904521,36.58390077,115.13782409999999,53.89866213,39.23288469
2018-09-12,43.36044444,29.33500893,32.10324701,118.8920591,45.51992157,32.511856099999996,37.45414933,117.5445376,54.86701043,41.11892076
2018-09-13,40.23955264,26.53207428,29.39598481,106.55073,45.02635122,31.15884486,37.15242185,114.0520021,55.33899276,40.6884127
2018-09-14,41.59892547,27.49029434,29.09559925,104.0764502,44.70767459,30.38812921,37.40742377,115.76319550000001,55.60846019,40.61906619
2018-09-17,41.84971116,27.70030683,31.23109715,113.57614380000001,45.68404954,31.54378372,38.37645661,118.45717020000001,54.703792799999995,41.68439669
2018-09-18,42.07484195,27.472604200000003,31.77754706,114.99382539999999,45.71723385,31.26039911,37.8010939,117.5300844,54.54876609,40.77953567
2018-09-19,41.92257042,27.61219763,31.45045607,114.53788020000002,47.42145621,32.17414504,36.92356932,113.7550333,53.93959232,41.08621299
2018-09-20,42.78945626,30.49777074,30.97354266,112.31368559999999,44.26509718,33.84031721,37.77328235,111.2719446,52.27589001,45.31583863
2018-09-21,41.95131728,30.17943179,31.05611997,112.80542,44.77332518,35.02253123,38.02867783,112.6215095,51.79478406,45.32287081
2018-09-24,43.54826732,31.97799787,33.05117763,121.72393149999999,45.43035079,35.89498365,37.81512096,113.1015625,52.58474482,45.9983911
2018-09-25,44.52374801,31.87856777,32.77008358,120.3308969,44.53703763,34.93344503,38.03807914,114.38152930000001,53.21979676,47.2691398
2018-09-26,41.03020905,29.55723478,31.67000053,114.47973329999999,43.19073465,33.14964283,37.54269414,112.18192830000001,52.62314203,47.56098165
2018-09-27,40.73434528,28.8142322,30.89525257,110.1684595,42.14174570000001,31.98462458,37.41013901,111.22087749999999,53.96966617,48.40269868
2018-09-28,39.15983997,27.96959908,29.27575081,111.42894129999999,43.71130909,33.82511902,39.94284252,121.9438425,55.28627908,51.64816925
2018-10-01,39.8710725,27.26778043,27.40940469,102.1629315,42.88235049,32.26881895,38.38481578,115.90759479999998,56.27966474,52.58819673
2018-10-02,41.18446177,29.61773325,29.46221489,111.39003729999999,44.22051012,34.59144235,39.36815919,121.7589613,63.12295269,60.25872547
2018-10-03,41.55837366,29.35566226,30.61363722,116.27797530000001,43.87716916,33.43634182,38.62804379,117.0383922,55.77636293,51.00064161
2018-10-04,45.83317475,33.19476263,35.18005126,135.7353582,45.28850215,34.92860756,39.53313655,122.2788574,58.25443368,54.75973957
2018-10-05,45.923902500000004,33.70826639,35.37660331,136.78372190000002,45.29606989,35.16592015,39.98479835,124.8912074,57.38961871,55.09743919
2018-10-08,,,,,48.65387454,39.10469061,42.35897972,134.7615042,57.922908400000004,57.10186975
2018-10-09,47.05851789,34.81050535,36.73677836,143.0812608,49.20138498,40.05977931,42.5004189,135.44535119999998,59.13249095,57.73138278
2018-10-10,50.48240079,40.4327513,41.90514249,171.34058169999997,49.52111534,39.96012312,43.02951824,138.4301685,59.09032646,57.92319298
2018-10-11,51.77011786,39.47020249,42.93150512,172.5581097,56.16102168,45.73277693,46.92603287,152.0682755,63.75763401,64.24209743
2018-10-12,50.90748768,38.49721467,41.845946000000005,165.333144,58.52025432,48.08182701,46.3831554,148.38039530000003,65.48825982,65.37895278
2018-10-15,53.44499267,41.73894012,41.51294584,164.6676737,58.72432994,48.28894605,45.03997209,144.25055859999998,67.75094677,68.00145922
2018-10-16,49.4331915,37.389911700000006,38.73979539,151.4801886,51.49678156,40.15896019,44.06373022,139.3584707,64.70326983,62.39082069
2018-10-17,52.37046915,39.05951005,38.8786484,152.7205068,56.43694014,46.75877506,44.10232508,139.990936,65.29637304,63.56777866
