Vol Index,Mean of 1% Left Tail,Mean of 5% Left Tail,Mean of 10% Left Tail
VIX,-26.83763063257817,-12.091172311633326,-7.171492617393414
VIXIG,-23.502001897121538,-13.390521983798669,-7.537128452685623
VIXHY,-24.335246287599148,-14.177779612672389,-9.682936156308793
VIXIE,-41.77735386757537,-23.315995390604794,-15.260001157489821
VIXXO,-59.32363984163201,-28.580736711424198,-16.289646860823893
VIXFS,-54.65493672613432,-29.631631575220318,-18.024035880304872
