,start date,end date,count,mean,std,min,25%,50%,75%,max,mean change (%),std change (%),min change (%),25% change (%),50% change (%),75% change (%),max change (%)
VIX,1990-01-02,2019-09-06,7476,19.19751872659175,7.74730745996622,9.14,13.58,17.31,22.57,80.86,0.21825674393128894,6.8349876735462365,-29.572649572649578,-3.626556575629847,-0.3395585738539819,3.2604907388666393,115.59792027729637
TYVIX,2003-01-02,2019-09-06,4188,6.223825214899732,2.0549572908975033,3.16,4.71,5.63,7.51,14.72,0.0906596654577483,4.6394797661488765,-24.95697074010326,-2.6284386383620184,-0.15337423312883347,2.5015644555694605,46.9416785206259
JGB VIX,2008-01-15,2019-09-06,2857,2.9606370318515878,1.3994317625071522,1.11,1.91,2.67,3.61,10.37,0.2337864758292969,7.506726334625462,-44.3024494142705,-3.500000000000003,0.0,3.1143286629984726,146.78111587982832
SRVIX,2012-06-18,2019-09-06,1799,81.96923290717064,9.702479326657242,60.68,73.5,83.14,88.16,112.3,-0.013627657471760542,0.9644067034874892,-8.118714741231303,-0.38217086282656687,-0.0347927357690514,0.2785016063897139,11.512222853894261
BP TYVIX,2006-01-03,2019-09-06,3399,99.69376095409204,34.64470863995961,52.67709814,75.09310797,87.60559482,118.0569513,234.7517847,0.11410763707064334,4.899714754950439,-24.894640253958155,-2.7409246387475275,-0.13521885766720199,2.5499735428991146,52.030798221961795
BP JGB VIX,2008-01-15,2019-09-06,2837,43.327529588149424,21.22581831806802,15.60651111,26.89398897,38.73905873,53.05977581,153.593202,0.23841318965327313,7.591401207843726,-44.27787431692868,-3.598597585351307,-0.09250655190432,3.219053589764714,147.66341543688694
