,start date,end date,count,mean,std,min,25%,50%,75%,max,mean change (%),std change (%),min change (%),25% change (%),50% change (%),75% change (%),max change (%)
VIX,1990-01-02,2019-09-06,7476,19.19751872659175,7.74730745996622,9.14,13.58,17.31,22.57,80.86,0.21825674393128894,6.8349876735462365,-29.572649572649578,-3.626556575629847,-0.3395585738539819,3.2604907388666393,115.59792027729637
BP VIXIG,2012-03-01,2019-09-06,1945,40.611539729133284,13.037919573619714,21.15149235,31.46942848,37.49423867,46.49374691,105.8947888,0.21206720133710905,6.850196144517224,-23.218770429033775,-3.900414398563762,0.012708310892595165,3.8209971264562546,43.55076838599863
BP VIXHY,2012-03-01,2019-09-06,1939,193.0546446908199,64.89701508283927,96.72487789,144.5863574,177.25434111,224.52540700000003,456.4281905,0.22302348877330458,7.358897863849677,-35.036409306713864,-4.004853937388564,0.018083535377222404,3.936446707133295,63.80674500229859
BP VIXIE,2012-03-01,2019-09-06,1942,48.32346901025386,23.62939359363516,15.29023377,33.89176787,41.344124549,55.373894185000005,162.52025659999998,0.18654713476248824,6.997405614316067,-35.07683758098851,-4.095651341606654,-0.04909553525156429,4.000317382288809,74.52791872867992
BP VIXXO,2012-03-05,2019-09-06,1942,187.58632269795567,84.05458900005118,59.57795108,131.342189675,163.722095835,221.05629662500002,577.1322225,0.15684525248783993,6.3540989886167045,-24.442970237067208,-3.830095185038307,0.014369282324522281,3.4800046372115423,44.74801708703468
BP VIXFS,2012-03-05,2019-09-06,1941,73.9266295150686,46.98973242207821,17.69135673,46.854222441000005,58.348034488,83.5117299,278.1618759,0.1609206739196029,6.615569377906004,-33.806735207755004,-3.7899290902538323,-0.09174018945694029,3.550903923868293,38.70023001639979
