Vol Index,Mean of 1% Left Tail,Mean of 5% Left Tail,Mean of 10% Left Tail
VIX,-26.83763063257817,-11.994434475971405,-7.065529987288602
TYVIX,-5.282022045367503,-2.5593465393508295,-1.7134185382329503
JGB VIX,-3.793096482401608,-2.035262208259224,-1.3946058766410971
SRVIX,-13.451273317543695,-11.392881932245498,-9.888757079137855
