Credit VIX Index,Estimated bps spread change of underlying from 10% change in implied vol index
VIXIG,4.997496193036982
VIXHY,15.950106941726169
VIXIE,5.08525396984062
VIXXO,11.071861178106639
VIXFS,8.193171862124204
BP VIXIG,2.1798900008975175
BP VIXHY,7.91637943490405
BP VIXIE,2.462492977253404
BP VIXXO,10.374492156499599
BP VIXFS,3.982074428321087
