Vol Index,% Vol of % Vol
VIX,133.80096764111153
JGB VIX,126.15718335651354
VIXHY,81.96421959895964
TYVIX,74.8896093640496
VIXIE,72.57813044267387
VIXIG,69.30605752642597
VIXXO,68.84854687043027
VIXFS,59.75900892087209
SRVIX,15.215169883638469
