,start date,end date,count,mean,std,min,25%,50%,75%,max,mean change (%),std change (%),min change (%),25% change (%),50% change (%),75% change (%),max change (%)
VIX,1990-01-02,2019-09-06,7476,19.19751872659175,7.74730745996622,9.14,13.58,17.31,22.57,80.86,0.21825674393128894,6.8349876735462365,-29.572649572649578,-3.626556575629847,-0.3395585738539819,3.2604907388666393,115.59792027729637
VIXIG,2012-03-01,2019-09-06,1945,48.54944302760522,7.312004620945274,32.23936895,43.33159924,47.574055998,52.44227091,75.98256731,0.09768152054480818,4.27996288495079,-16.632725194760724,-2.4260888382869217,0.003783874027785128,2.4668190574456847,20.52904519323022
VIXHY,2012-03-01,2019-09-06,1939,43.49531451637128,7.8957864732614125,25.95601679,37.785070945,42.79506513,48.148747525000005,76.25802401,0.10691939359109698,4.943424697541487,-26.261438715683727,-2.656699422078537,-0.04226206701382629,2.582621463660689,42.18739678652719
VIXIE,2012-03-01,2019-09-06,1942,53.201985754984044,9.931249860715974,24.3499911,46.2727481475,52.45728674750001,60.196822815000004,89.69516379,0.1099492529101014,4.752035472081348,-29.688901140490664,-2.3814140121920513,-0.00035778072280390205,2.287837210730337,65.50548043391025
VIXXO,2012-03-05,2019-09-06,1942,48.89976870814787,9.850358620399241,23.44382494,41.919718867499995,47.892464995,55.82410204,86.40142911,0.10501494526664679,4.430362641006604,-26.629940141067344,-2.338259234151119,-0.010293285523210738,2.1699479508535013,39.922734800630664
VIXFS,2012-03-05,2019-09-06,1941,63.804744740291554,10.914072045306186,38.86684727,55.74032548,64.137723453,70.8304092,102.0124912,0.09248391630148209,3.912593889838826,-28.876497306068682,-1.9593955716557254,-0.02651824415245141,1.7996553495763123,30.841477020980392
