Vol Index,Mean of 1% Left Tail,Mean of 5% Left Tail,Mean of 10% Left Tail,Mean
VIX,-26.83763063,-12.09117231,-7.171492617,4.45901998
TYVIX,-5.282022045,-2.552472812,-1.725682056,0.847030123
JGB VIX,-3.793096482,-2.027968226,-1.388872603,0.719211263
SRVIX,-13.45127332,-11.36935238,-9.83536655,8.319557055
