Date,refloc,IndexSeries,IndexSymbol,CreditVix_pc,CreditVix_bp,NearTerm,NextTerm,Percentage_Near,BasisPoint_Near,D1,Percentage_Next,BasisPoint_Next,D2,sigma1sq_pc,sigma2sq_pc,sigma1sq_bp,sigma2sq_bp,T1,T2,IndexVersion
2018-08-24,L1730,30,VIXHY,31.628304252,117.97536035,2018-09-19,2018-10-17,31.352714476,115.66986116,26,32.411292124,124.39590088,54,0.0982992705,0.1050491857,1.3379516781,1.5474340156,0.0712328767,0.1479452055,
2018-08-24,L1730,30,VIXIG,41.349766038,28.727463887,2018-09-19,2018-10-17,41.014961799,28.122926953,26,42.302095985,30.406462795,54,0.1682227091,0.1789467325,0.079089902,0.092455298,0.0712328767,0.1479452055,
2018-08-24,N1730,29,VIXHY,31.902574315,110.92975448,2018-09-19,2018-10-17,31.707133338,108.95035427,26,32.460572253,116.4591931,54,0.1005342305,0.1053688751,1.1870179695,1.3562743656,0.0712328767,0.1479452055,
2018-08-24,N1730,29,VIXIG,41.47308127,25.054002761,2018-09-19,2018-10-17,41.255064743,24.619217673,26,42.096564798,26.269657302,54,0.1701980367,0.1772120768,0.0606105879,0.0690094895,0.0712328767,0.1479452055,
2018-08-24,N1730,30,VIXHY,31.381227284,116.28399929,2018-09-19,2018-10-17,31.151005464,114.12817302,26,32.03702065,122.29866011,54,0.0970385141,0.1026370692,1.3025239878,1.4956962265,0.0712328767,0.1479452055,
2018-08-24,N1730,30,VIXIG,41.25669465,28.737859363,2018-09-19,2018-10-17,41.041623754,28.252541784,26,41.871805658,30.095958711,54,0.168441488,0.1753248109,0.0798206117,0.0905766731,0.0712328767,0.1479452055,
2018-08-27,L1730,29,VIXHY,31.178148855,107.79908758,2018-09-19,2018-10-17,30.754723007,104.23067501,23,31.742029972,112.44683926,51,0.0945852987,0.1007556467,1.0864033613,1.2644291659,0.0630136986,0.1397260274,
2018-08-27,L1730,29,VIXIG,41.054991524,24.63917069,2018-09-19,2018-10-17,40.583673919,23.811155232,23,41.684175034,25.71702764,51,0.1647034589,0.1737570448,0.0566971114,0.0661365511,0.0630136986,0.1397260274,
2018-08-27,L1730,30,VIXHY,30.781981109,113.52801503,2018-09-19,2018-10-17,30.319077574,109.77442258,23,31.397401304,118.41717365,51,0.0919246465,0.0985796809,1.2050423853,1.4022627015,0.0630136986,0.1397260274,
2018-08-27,L1730,30,VIXIG,40.812124057,28.147545584,2018-09-19,2018-10-17,40.325161757,27.218338489,23,41.461853037,29.357933134,51,0.1626118671,0.1719085257,0.074083795,0.0861888238,0.0630136986,0.1397260274,
2018-08-27,N1730,29,VIXHY,31.53874103,108.55500099,2018-09-19,2018-10-17,31.245962659,105.6027729,23,31.930580246,112.42586572,51,0.0976310182,0.1019561955,1.1151945643,1.2639575284,0.0630136986,0.1397260274,
2018-08-27,N1730,29,VIXHY,31.53874103,108.55500099,2018-09-19,2018-10-17,31.245962659,105.6027729,23,31.930580246,112.42586572,51,0.0976310182,0.1019561955,1.1151945643,1.2639575284,0.0630136986,0.1397260274,
2018-08-27,N1730,29,VIXHY,31.53874103,108.55500099,2018-09-19,2018-10-17,31.245962659,105.6027729,23,31.930580246,112.42586572,51,0.0976310182,0.1019561955,1.1151945643,1.2639575284,0.0630136986,0.1397260274,
2018-08-27,N1730,29,VIXIG,41.804588081,24.687054126,2018-09-19,2018-10-17,41.912109355,24.209143025,23,41.658676407,25.31928551,51,0.1756624911,0.173544532,0.0586082606,0.0641066219,0.0630136986,0.1397260274,
2018-08-27,N1730,29,VIXIG,41.804588081,24.687054126,2018-09-19,2018-10-17,41.912109355,24.209143025,23,41.658676407,25.31928551,51,0.1756624911,0.173544532,0.0586082606,0.0641066219,0.0630136986,0.1397260274,
2018-08-27,N1730,29,VIXIG,41.804588081,24.687054126,2018-09-19,2018-10-17,41.912109355,24.209143025,23,41.658676407,25.31928551,51,0.1756624911,0.173544532,0.0586082606,0.0641066219,0.0630136986,0.1397260274,
2018-08-27,N1730,30,VIXHY,31.209724886,114.84847476,2018-09-19,2018-10-17,30.928193079,111.75566674,23,31.586627079,118.90488489,51,0.0956553127,0.099771501,1.2489329048,1.4138371651,0.0630136986,0.1397260274,
