date,CDX NA IG,CDX NA HY,iTraxx EU Main,iTraxx EU Xover,iTraxx EU SenFin
2011-09-09,370.228697529571,,,,
2011-09-12,380.02681050766927,,,,
2011-09-13,370.228697529571,,,,
2011-09-14,363.2300454023579,,,,
2011-09-15,352.032201998817,,,,
2011-09-16,354.13179763698093,,,,
2011-09-19,358.6809215196694,,,,
2011-09-20,356.5813258815055,,,,
2011-09-21,375.8022523695421,,,,
2011-09-22,385.74411089783683,,,,
2011-09-23,377.79062407520104,,,,
2011-09-26,363.54062685131186,,,,
2011-09-27,362.54644099848235,,,,
2011-09-28,376.46504293809505,,,,
2011-09-29,370.4999278211182,,,,
2011-09-30,385.08132032928387,,,,
2011-10-03,401.6510845431084,,,,
2011-10-04,396.3487599946846,,,,
2011-10-05,385.74411089783683,,,,
2011-10-06,370.4999278211182,,,,
2011-10-07,370.4999278211182,,,,
2011-10-11,360.5580692928234,,,,
2011-10-12,347.3022579217637,,752.4986595412022,1758.6274457465297,1351.8130501015294
2011-10-13,352.58867549654235,,781.3570455004709,1813.0033853039104,1440.0062009637682
2011-10-14,345.9766767846578,,755.5864239751091,1751.9270930048622,1411.090413795821
2011-10-17,359.2324881557175,,767.0347031262471,1761.3841893233769,1416.8735712294103
2011-10-18,352.6045824701876,,782.8442314778187,1779.1162449205922,1451.572515830947
2011-10-19,357.9069070186115,,769.2153277264639,1738.5311160696858,1413.0162052212063
2011-10-20,355.91853531295254,,802.1035079469331,1795.3706292180393,1468.1990934525165
2011-10-21,349.2906296274227,,769.2153277264639,1727.102215168761,1387.9577840614634
2011-10-24,335.5947253188438,,757.2218924252717,1679.324964567624,1366.9938383647016
2011-10-25,344.8737932785856,,767.1437343562579,1702.2773373326595,1416.8735712294103
2011-10-26,334.93193475029085,,761.8360940793303,1701.2914350414546,1395.6667329204379
2011-10-27,302.45519689119465,,658.5486292654631,1504.8604516836635,1200.0051674698068
2011-10-28,302.89528982871377,,658.5486292654631,1477.2788302707154,1219.9107953562216
2011-10-31,323.4417974538563,,709.7715011245549,1566.8233467625726,1320.2196610418302
2011-11-01,337.360399393469,,791.5667298786857,1742.2335692783845,1507.958300808444
2011-11-02,333.60635361318487,,771.6707110263079,1721.5863637409868,1485.305673141074
2011-11-03,320.54672825041683,,730.5092410726163,1630.1669779039844,1399.5240989286422
2011-11-04,328.0813314337272,,757.2218924252717,1685.7274187752587,1428.4398860965894
2011-11-07,327.75258731172494,,767.3094618258743,1721.191529969689,1458.8072457803673
2011-11-08,321.45607691047155,,767.9418429599373,1714.68977625071,1461.6930413397286
2011-11-09,344.9824909318283,,792.6570421787941,1775.5698338011491,1575.9104006531197
2011-11-10,343.9883050789988,,804.8336499464045,1796.9476000291515,1646.3955234537077
2011-11-11,,,754.4961116750007,1701.0952002928452,1549.8861922019673
2011-11-14,343.6569097947223,,794.8376667790109,1762.7625611118006,1635.1877643474113
2011-11-15,351.28165249535584,,825.4579974152547,1825.6144232446495,1734.2243353976303
2011-11-16,357.575511734335,,806.8311020802031,1775.5698338011491,1694.465128041703
2011-11-17,362.2176968764801,,824.2760988819372,1800.789545408548,1723.3809152096503
2011-11-18,360.5580692928234,,823.1857865818288,1798.0304375576218,1729.1640726432397
2011-11-21,373.1510900953301,,863.527341685839,1873.292374334442,1818.803012863876
2011-11-22,373.1510900953301,,871.1595277865977,1899.398688721702,1852.7790627862137
2011-11-23,387.4010873192193,,909.320458290391,1984.2170213283814,1977.839842287585
2011-11-24,,,903.1405681733767,1987.3685986765265,1995.6693166553416
2011-11-25,391.0464354462607,,908.7753021403369,1997.8115972862463,2073.261939941811
2011-11-28,373.8138806638831,,867.0730372857914,1891.8637472299251,1921.6969499222987
2011-11-29,371.60546248946457,,855.8951555850803,1872.8006053258791,1922.8998466684855
2011-11-30,338.68598053057497,,806.8354633294034,1792.11975235855,1739.284598152021
2011-12-01,335.37202768781003,,800.6512119631888,1792.4152866185036,1718.0777598430486
2011-12-02,333.3836559821511,,779.6648808107026,1759.6109837636554,1639.0451303556158
2011-12-05,326.42700617461895,,737.0554761224669,1693.8061433053497,1507.958300808444
2011-12-06,323.7731927381328,,747.9542378743504,1704.9371456722417,1523.861983750815
2011-12-07,317.8080776211559,,724.7872821216474,1688.5669119448928,1544.5830368353656
2011-12-08,333.0522606978746,,768.1250154263555,1799.8036431173432,1711.8146003424713
2011-12-09,324.1045880224093,,767.5842205255017,1775.5698338011491,1717.5977577760607
2011-12-12,333.64877220957226,,811.1007650474276,1879.8934275647653,1870.8514297661807
2011-12-13,337.69179467774546,,806.8311020802031,1870.140796986297,1841.9356425982335
2011-12-14,344.25342130642,,831.3631288326417,1919.0032493899828,1927.2372147436777
2011-12-15,343.6569097947223,,811.2839375138457,1869.1548946950918,1819.7688001552854
2011-12-16,349.9534201959757,,816.6439127811785,1893.7835377825838,1807.2366979966969
2011-12-19,350.94760604880514,,813.3729758808533,1897.329948902027,1815.911434147081
2011-12-20,335.7034229720865,,783.934543777927,1826.401726513166,1714.706179059266
2011-12-21,329.73830785510967,,778.4829822773851,1832.3124117122377,1665.549340873756
2011-12-22,322.11621631675035,,757.7714098245262,1799.212574597436,1607.7177665378615
2011-12-23,322.7790068853033,,749.0445501744588,1782.6626560400352,1590.3682942370933
2011-12-27,319.4650540425384,,749.0445501744588,1782.6626560400352,1590.3682942370933
2011-12-28,323.1104021695798,,756.6810975244179,1785.0269301196638,1596.1514516706827
2011-12-29,318.13947290543246,,763.2229713250681,1796.8483005178073,1633.7419749890141
