Date,PX_LAST
1/3/00,95.078125
1/4/00,95.5625
1/5/00,94.875
1/6/00,95.203125
1/7/00,95.578125
1/10/00,95.34375
1/11/00,94.5625
1/12/00,94.390625
1/13/00,95.015625
1/14/00,94.609375
1/17/00,94.609375
1/18/00,94.125
1/19/00,94.34375
1/20/00,94.0625
1/21/00,93.984375
1/24/00,94.5625
1/25/00,94.484375
1/26/00,94.609375
1/27/00,94.578125
1/28/00,94.890625
1/31/00,94.78125
2/1/00,95.09375
2/2/00,95.21875
2/3/00,95.859375
2/4/00,95.46875
2/7/00,94.78125
2/8/00,95.109375
2/9/00,94.59375
2/10/00,94.203125
2/11/00,94.40625
2/14/00,95
2/15/00,94.796875
2/16/00,94.78125
2/17/00,94.5625
2/18/00,95.078125
2/21/00,95.078125
2/22/00,96.109375
2/23/00,95.5625
2/24/00,96.203125
2/25/00,96.203125
2/28/00,95.640625
2/29/00,95.765625
3/1/00,95.921875
3/2/00,95.8125
3/3/00,96.015625
3/6/00,95.78125
3/7/00,95.9375
3/8/00,95.921875
3/9/00,96.15625
3/10/00,95.890625
3/13/00,96.09375
3/14/00,96.5625
3/15/00,96.734375
3/16/00,96.96875
3/17/00,97.296875
3/20/00,97.296875
3/21/00,97.515625
3/22/00,97.609375
3/23/00,97.359375
3/24/00,96.703125
3/27/00,96.796875
3/28/00,96.90625
3/29/00,97.078125
3/30/00,97.8125
3/31/00,98.078125
4/3/00,98.265625
4/4/00,99.015625
4/5/00,98.765625
4/6/00,98.546875
4/7/00,98.875
4/10/00,99.203125
4/11/00,98.546875
4/12/00,97.890625
4/13/00,98.28125
4/14/00,98.53125
4/17/00,97.84375
4/18/00,97.765625
4/19/00,98.296875
4/20/00,98.234375
4/21/00,98.234375
4/24/00,98.234375
4/25/00,97.53125
4/26/00,97.546875
4/27/00,96.828125
4/28/00,96.953125
5/1/00,96.71875
5/2/00,96.4375
5/3/00,95.953125
5/4/00,95.5625
5/5/00,95.265625
5/8/00,94.984375
5/9/00,95.234375
5/10/00,95.734375
5/11/00,95.890625
5/12/00,95.265625
5/15/00,95.546875
5/16/00,95.78125
5/17/00,95.4375
5/18/00,94.921875
5/19/00,95.296875
5/22/00,95.890625
5/23/00,95.78125
5/24/00,95.6875
5/25/00,96.28125
5/26/00,96.734375
5/29/00,96.734375
5/30/00,96.40625
5/31/00,96.953125
6/1/00,97.5
6/2/00,97.796875
6/5/00,98.046875
6/6/00,97.9375
6/7/00,98
6/8/00,98.078125
6/9/00,98
6/12/00,98.265625
6/13/00,98.0625
6/14/00,98.546875
6/15/00,98.515625
6/16/00,98.90625
6/19/00,98.734375
6/20/00,98.609375
6/21/00,98.265625
6/22/00,97.75
6/23/00,97.390625
6/26/00,97.984375
6/27/00,97.984375
6/28/00,97.875
6/29/00,98.375
6/30/00,98.484375
7/3/00,98.84375
7/4/00,98.84375
7/5/00,98.9375
7/6/00,98.546875
7/7/00,98.859375
7/10/00,98.703125
7/11/00,98.578125
7/12/00,98.375
7/13/00,98.890625
7/14/00,98.171875
7/17/00,97.828125
7/18/00,97.859375
7/19/00,97.859375
7/20/00,98.875
7/21/00,98.96875
7/24/00,98.671875
7/25/00,98.765625
7/26/00,98.78125
7/27/00,99.015625
7/28/00,98.859375
7/31/00,98.890625
8/1/00,99.1875
8/2/00,99.359375
8/3/00,99.5
8/4/00,99.796875
8/7/00,99.484375
8/8/00,99.765625
8/9/00,99.828125
8/10/00,99.984375
8/11/00,99.59375
